Olurukoba ya ce
Mista Olurukoba ya kuma
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
Kano Dakta Zainab Abdulkadir ta
Dakta Zainab Abdulkadir ta ce
Bilkisu Abubakar mazauniyar
Bilkisu Abubakar mazauniyar Kano
amma dai Allah zai kare
Wani matashi Aliyu Abdullahi ya
matashi Aliyu Abdullahi ya ce
mai suna Abba Salisu ya
