jí ɖò tɛníígbè azǎn 16ɔ́
lidósùn xwè 2020ɔ́ tɔn gbè
yì ɖò azǎn nukɔntɔn lidósùn
ɖò azǎn nukɔntɔn lidósùn ɔ́
azǎn nukɔntɔn lidósùn ɔ́ tɔn
lá ɖò gàn xixo 24ɔ́
ɖò gàn xixo 24ɔ́ hwenu
gàn xixo 24ɔ́ hwenu è
ná ɖò azǎn 4ɔ́ ayidósùn
ɖò azǎn 4ɔ́ ayidósùn xwè
azǎn 4ɔ́ ayidósùn xwè 2020ɔ́
4ɔ́ ayidósùn xwè 2020ɔ́ tɔn
ayidósùn xwè 2020ɔ́ tɔn gbè
kpà ɖò azǎn 2ɔ́ ayidósùn
ɖò azǎn 2ɔ́ ayidósùn ɔ́
azǎn 2ɔ́ ayidósùn ɔ́ tɔn
zogbeji ɖò azǎn yɔywɛ ɖé
ɖò azǎn yɔywɛ ɖé mɛ̀
, ɖò aklunɔzángbè azǎn 26ɔ́
ɖò aklunɔzángbè azǎn 26ɔ́ lidósùn
aklunɔzángbè azǎn 26ɔ́ lidósùn ɔ́
azǎn 26ɔ́ lidósùn ɔ́ tɔn
có bɔ azǎn 11ɔ́ nǔxwásùn
bɔ azǎn 11ɔ́ nǔxwásùn ɔ́
azǎn 11ɔ́ nǔxwásùn ɔ́ tɔn
bɔ bɛsín azǎn 11ɔ́ nǔxwásùn
bɛsín azǎn 11ɔ́ nǔxwásùn ɔ́
azǎn 11ɔ́ nǔxwásùn ɔ́ tɔn
Ɖò azǎn 15ɔ́ ayidósùn
Ɖò azǎn 15ɔ́ ayidósùn xwè
azǎn 15ɔ́ ayidósùn xwè 2020ɔ́
15ɔ́ ayidósùn xwè 2020ɔ́ tɔn
ayidósùn xwè 2020ɔ́ tɔn gbè
è ɖè aklunɔzangbla ée wá
ɖè aklunɔzangbla ée wá yì
aklunɔzangbla ée wá yì ɔ́
ée wá yì ɔ́ mɛ̀
ɖetɔn ɖò azǎn 16ɔ́ ayidósùn
ɖò azǎn 16ɔ́ ayidósùn ɔ́
azǎn 16ɔ́ ayidósùn ɔ́ tɔn
Ɖò aklunɔzangbla ɖokpó mɛ̀
Ɖò aklunɔzangbla ɖokpó mɛ̀ ɔ́
, bɛsín azǎn 6ɔ́ wá
bɛsín azǎn 6ɔ́ wá yì
azǎn 6ɔ́ wá yì jɛ
6ɔ́ wá yì jɛ azǎn
wá yì jɛ azǎn 14ɔ́
yì jɛ azǎn 14ɔ́ ayidósùn
jɛ azǎn 14ɔ́ ayidósùn ɔ́
azǎn 14ɔ́ ayidósùn ɔ́ tɔn
Ɖò síbígbè azǎn 13ɔ́
Ɖò síbígbè azǎn 13ɔ́ ayidósùn
síbígbè azǎn 13ɔ́ ayidósùn ɔ́
azǎn 13ɔ́ ayidósùn ɔ́ tɔn
Gàn xixo 48
Gàn xixo 48 gudo
Gàn xixo 48 gudo ɔ́
: , azǎn 98 kplíkplí
, azǎn 98 kplíkplí wɛ
, ɖò azǎn 18 mɛ̀
ɖò azǎn 18 mɛ̀ kpowun
nɛ́ ɖò azǎn 11ɔ́ ayidósùn
ɖò azǎn 11ɔ́ ayidósùn ɔ́
azǎn 11ɔ́ ayidósùn ɔ́ tɔn
nù nú xwè tɛ́nnɛ́ (
nú xwè tɛ́nnɛ́ ( 2011
Lomɛ ɖò azǎn 28ɔ́ avùvɔsùn
ɖò azǎn 28ɔ́ avùvɔsùn è
azǎn 28ɔ́ avùvɔsùn è jǎwe
28ɔ́ avùvɔsùn è jǎwe ɔ́
avùvɔsùn è jǎwe ɔ́ tɔn
è jǎwe ɔ́ tɔn gbè
jǎwe ɔ́ tɔn gbè .
Xɔgbonu ɖò xwè 1966ɔ́ mɛ̀
ɖò xwè 1966ɔ́ mɛ̀ ;
nù nú xwè ayizɛn ée
nú xwè ayizɛn ée jǎwe
gege nú xwè 20 mɔ̌
nú xwè 20 mɔ̌ .
Pacifique nú xwè ayizɛn (
nú xwè ayizɛn ( 2010
ayizɛn ( 2010 - 2016
( 2010 - 2016 )
2010 - 2016 ) hwɛ̌
Sín nǔxwásùn xwè 2020ɔ́
Sín nǔxwásùn xwè 2020ɔ́ tɔn
nǔxwásùn xwè 2020ɔ́ tɔn mɛ̀
tè ɖò xwè 2021 -
ɖò xwè 2021 - 2025
xwè 2021 - 2025 ɔ́
2021 - 2025 ɔ́ nù
mɛ̀ ɖò azǎn 22ɔ́ lidósùn
ɖò azǎn 22ɔ́ lidósùn xwè
azǎn 22ɔ́ lidósùn xwè 2020ɔ́
22ɔ́ lidósùn xwè 2020ɔ́ gbè
lidósùn xwè 2020ɔ́ gbè ɔ́
tîin ɖò azǎn 17ɔ́ nǔxwásùn
ɖò azǎn 17ɔ́ nǔxwásùn è
azǎn 17ɔ́ nǔxwásùn è jǎwe
17ɔ́ nǔxwásùn è jǎwe ɔ́
nǔxwásùn è jǎwe ɔ́ tɔn
è jǎwe ɔ́ tɔn ná
