Yɛde Ahinime da a
wɔ Wembley Kwasiada no nanso
bi wɔ Benada esiane nsuyiri
yɛbɛkae sɛ Yawoada , Ɔbɛnem
sɛ Yawoada , Ɔbɛnem 25
Yawoada , Ɔbɛnem 25 ,
, Ɔbɛnem 25 , 2021
Ɔbɛnem 25 , 2021 ,
25 , 2021 , obi
asɛnnibea biom Kɔtɔnima da a
biom Kɔtɔnima da a ɛtɔ
Kɔtɔnima da a ɛtɔ so
da a ɛtɔ so aduasa
wɔ Wembley Kwasiada no nanso
bi wɔ Benada esiane nsuyiri
yɛbɛkae sɛ Yawoada , Ɔbɛnem
sɛ Yawoada , Ɔbɛnem 25
Yawoada , Ɔbɛnem 25 ,
, Ɔbɛnem 25 , 2021
Ɔbɛnem 25 , 2021 ,
25 , 2021 , obi
asɛnnibea biom Kɔtɔnima da a
biom Kɔtɔnima da a ɛtɔ
Kɔtɔnima da a ɛtɔ so
da a ɛtɔ so aduasa
a ɛtɔ so aduasa wɔ
ɛtɔ so aduasa wɔ afe
so aduasa wɔ afe mpem
aduasa wɔ afe mpem mmienu
wɔ afe mpem mmienu ne
afe mpem mmienu ne aduonu
mpem mmienu ne aduonu baako
mmienu ne aduonu baako mu
ne aduonu baako mu .
Evening Ghana Benada no ,
kyerɛwtohɔ no ɔsram biako .
nɔn baako Beneda wɔ Kɔtɔnima
Beneda wɔ Kɔtɔnima da a
wɔ Kɔtɔnima da a ɛtɔ
Kɔtɔnima da a ɛtɔ so
da a ɛtɔ so aduonu
a ɛtɔ so aduonu num
ɛtɔ so aduonu num mu
so aduonu num mu .
a ɛtɔ so aduasa wɔ
ɛtɔ so aduasa wɔ afe
so aduasa wɔ afe mpem
aduasa wɔ afe mpem mmienu
wɔ afe mpem mmienu ne
afe mpem mmienu ne aduonu
mpem mmienu ne aduonu baako
mmienu ne aduonu baako mu
ne aduonu baako mu .
Evening Ghana Benada no ,
kyerɛwtohɔ no ɔsram biako .
nɔn baako Beneda wɔ Kɔtɔnima
Beneda wɔ Kɔtɔnima da a
wɔ Kɔtɔnima da a ɛtɔ
Kɔtɔnima da a ɛtɔ so
da a ɛtɔ so aduonu
a ɛtɔ so aduonu num
ɛtɔ so aduonu num mu
so aduonu num mu .
a ɛtɔ so aduasa wɔ
ɛtɔ so aduasa wɔ afe
so aduasa wɔ afe mpem
aduasa wɔ afe mpem mmienu
wɔ afe mpem mmienu ne
afe mpem mmienu ne aduonu
mpem mmienu ne aduonu baako
mmienu ne aduonu baako mu
ne aduonu baako mu .
Evening Ghana Benada no ,
kyerɛwtohɔ no ɔsram biako .
nɔn baako Beneda wɔ Kɔtɔnima
Beneda wɔ Kɔtɔnima da a
wɔ Kɔtɔnima da a ɛtɔ
Kɔtɔnima da a ɛtɔ so
da a ɛtɔ so aduonu
a ɛtɔ so aduonu num
ɛtɔ so aduonu num mu
