wọ́n pariwo 2023 , bóyá
lálẹ́ tàbí lóru .
ayẹyẹ ọjọ́ọ̀bí ọdún kejìdínlọ́gọ̀rùń ,
ọjọ́ọ̀bí ọdún kejìdínlọ́gọ̀rùń , 78
kejìdínlọ́gọ̀rùń , 78 , tí
nítorí odidi ọdún méjì ni
odidi ọdún méjì ni wọ́n
síléeṣẹ́ Àṣejèrè lópin ọ̀sẹ̀ tó
Àṣejèrè lópin ọ̀sẹ̀ tó kọjá
lópin ọ̀sẹ̀ tó kọjá yìí
ọ̀sẹ̀ tó kọjá yìí ,
tó kọjá yìí , Àbìrù
Nínú fọ́nrán oníṣẹ̀júú - mẹ́wàá
fọ́nrán oníṣẹ̀júú - mẹ́wàá tí
oníṣẹ̀júú - mẹ́wàá tí ọkùnrin
Adéṣínà wọlé lọ́dún 1999 làwọn
wọlé lọ́dún 1999 làwọn ọmọ
fi di ọdún 2001 ,
di ọdún 2001 , àwọn
tó di ọdún 2002 niṣẹ́
di ọdún 2002 niṣẹ́ bẹ̀rẹ̀
ì ju ọgbọ̀n ọdún lọ
ju ọgbọ̀n ọdún lọ lásìkò
Ládọjà wọlé lọ́dún 2003 gẹ̀gẹ̀
wọlé lọ́dún 2003 gẹ̀gẹ̀ bíi
tún di ọdún 2006 ,
di ọdún 2006 , nǹkan
jẹ́ pé òṣu mọ́kànlá ní
pé òṣu mọ́kànlá ní Akálà
torí inú oṣù kínní ,
inú oṣù kínní , ọdún
oṣù kínní , ọdún 2006
kínní , ọdún 2006 ni
, ọdún 2006 ni Akálà
, inú oṣù kejìlá níléẹjọ́
inú oṣù kejìlá níléẹjọ́ lé
Ọdún 1985 ló
Ọdún 1985 ló ti
mọ̀ , ọdún 1972 ni
, ọdún 1972 ni wọ́n
, nínú oṣù kẹwàá ,
nínú oṣù kẹwàá , ọdún
oṣù kẹwàá , ọdún náà
kẹwàá , ọdún náà .
, ọdún náà .
fún odidi ọ̀sẹ̀ márùn ún
odidi ọ̀sẹ̀ márùn ún tí
ọ̀sẹ̀ márùn ún tí àrùn
ẹ̀rọ ayélujára nírọ̀lẹ́ ọjọ́ Tọ́sde
ayélujára nírọ̀lẹ́ ọjọ́ Tọ́sde yìí
nírọ̀lẹ́ ọjọ́ Tọ́sde yìí ,
ọjọ́ Tọ́sde yìí , Àkọṣílẹ̀
ọjọ́ kínní ,
ọjọ́ kínní , oṣù
ọjọ́ kínní , oṣù keje
kínní , oṣù keje ,
, oṣù keje , tó
oṣù keje , tó kọjá
keje , tó kọjá yìí
, tó kọjá yìí ni
tó kọjá yìí ni wàhálà
máa di ọjọ́ kẹrìnlá ,
di ọjọ́ kẹrìnlá , oṣù
ọjọ́ kẹrìnlá , oṣù yẹn
kẹrìnlá , oṣù yẹn ,
, oṣù yẹn , ẹ̀rù
Odidi ọjọ́ mẹ́ta ni
Odidi ọjọ́ mẹ́ta ni wọ́n
ti tó ọdún mẹ́tàdínlọ́gbọ̀n .
tó ọdún mẹ́tàdínlọ́gbọ̀n .
ti tó odún mẹ́sàn -
tó odún mẹ́sàn - mẹ́wàá
odún mẹ́sàn - mẹ́wàá tàbí
mẹ́sàn - mẹ́wàá tàbí jù
ayẹyẹ ọjọ́ọ̀bí ọgọ́ta ọdún lórí
ọjọ́ọ̀bí ọgọ́ta ọdún lórí ilẹ̀
ayọ̀ ńlá lónìí "
Lẹ́yìn ọdún mẹ́tàléláàádọ́rin
Lẹ́yìn ọdún mẹ́tàléláàádọ́rin ,
Lẹ́yìn ọdún mẹ́tàléláàádọ́rin , Aláàfin
e lọ́wọ́ lọ́jọ́ Ìṣẹ́gun ,
lọ́wọ́ lọ́jọ́ Ìṣẹ́gun , Túsde
Ìṣẹ́gun , Túsde ọ̀sẹ̀ yìí
, Túsde ọ̀sẹ̀ yìí ní
Túsde ọ̀sẹ̀ yìí ní Aláùsá
sọ pé ọdún tó kọjá
pé ọdún tó kọjá lòun
ọdún tó kọjá lòun bẹ̀rẹ̀
ṣùgbọ́n ọ̀sẹ̀ yìí lòun
ṣùgbọ́n ọ̀sẹ̀ yìí lòun ṣẹ̀ṣẹ̀
méjì kan lóṣù tó kọjá
kan lóṣù tó kọjá .
lóṣù tó kọjá .
iléepo Subawah lọ́jọ́ kejì ọdún
Subawah lọ́jọ́ kejì ọdún ,
lọ́jọ́ kejì ọdún , lójúnà
kú ewu ọdún tó kọjá
ewu ọdún tó kọjá ,
ọdún tó kọjá , a
ọdún ni 2020 tó kọjá
l' Ékòó lónìí .
ń wáyé lọ́dọọdún .
Oṣù tó ń
Oṣù tó ń bọ̀
Oṣù tó ń bọ̀ ni
tó ń bọ̀ ni wọ́n
an nínú ọdún yìí .
nínú ọdún yìí .
, òjò ọdún yìí tún
òjò ọdún yìí tún máa
pé , oṣù tó ń
