b'omu Kampala abava
bukiikakkono bwa Uganda
bwa Uganda baavu
mu Apac waliyo
mu Apac lye
y'e Apac .
2005 Uganda lwe
Uganda yamaliriza
za Amerika enkaaga
ga America okufuna
, Uganda ekyali
ne Apac
z'omu Apac tezifa
mu Europe ne
mu Asia ng'ekyasa
mu Uganda wakati
mu Kigezi .
mu bugwanjuba bwa
bugwanjuba bwa Uganda
bwa Uganda mu
kya Apac ekirwadde
mu Apac ng'ekyokugezesezaako
Mu Apac ,
mu masekkati n'obukiikakkono
masekkati n'obukiikakkono bw'obuvanjuba
n'obukiikakkono bw'obuvanjuba bwa
bw'obuvanjuba bwa Asia
bwa Asia .
wa Rwanda owa
ya Rwanda leero
ba Rwanda abasukka
mu Rwanda zikulirwa
mu Rwanda baava
Mu Rwanda ,
nti Afirika terina
Afirika ebaddeko
ekya Rwanda ne
mu Sudan bwaddirira
Mu Uganda ,
nga Uganda erina
ku Rwanda ,
, Sudan ne
yafugira Congo emyaka
mu Congo ng'abajaasibe
ya Uganda okuggala
mu Uganda .
wa Uganda yekka
bwa Uganda n'ebitundu
bya Rwanda .
b'e Rwanda nti
wa Rwanda .
okufuula Rwanda disitulikiti
ya Uganda ey'ana
Luzira kifo
e Luzira tewaaliyo
e Luzira ,
e Luzira okumala
mu Uganda ekitalina
mu Tanzania ne
ne South Africa
South Africa ebibiina
ly'e Rukungiri ,
b'e Jinja ne
ne Iganga olwa
za Uganda .
bya Uganda kye
bya Uganda bigenda
mu Uganda .
Nga Burundi ,
bwa Uganda obw'omu
mu Uganda .
mu Sudan atambule
e Sudan ayongere
y'e Kalabongo mu
y'e Namokora nga
lwa Madi -
Madi - Opei
- Opei ,
e Kalabongo kwali
mu Uganda nga
ya Sudan okukyusa
ne Rwanda ,
b'e Jinja ne
ne Iganga olwa
za Uganda .
bya Uganda kye
bya Uganda bigenda
mu Uganda .
Nga Burundi ,
bwa Uganda obw'omu
mu Uganda .
mu Sudan atambule
e Sudan ayogere
y'e Kalabongo mu
y'e Namokora nga
lwa Madi -
Madi - Opei
- Opei ,
e Kalabongo kwali
mu Uganda nga
ya Sudan okukyusa
ne Rwanda ,
y'e Rwanda abamu
y'e Rwanda era
Rwanda lye
atwala Rwanda okuba
ku Rwanda n'okukwatagana
yonna Rwanda eyinza
nti Rwanda teriddamu
y'e Rwanda ebadde
b'e France lye
mu Rwanda gateekebwamu
ne Uganda .
mu Bufalansa lwe
mu South Africa
South Africa .
e Rwanda mu
