fɛ , feburuyekalo san 2022
ye san 2022 , ni
fɛ kabini San 1000 .
kabini San 1000 .
minɛ , sibiridon mɛkalo tile
, sibiridon mɛkalo tile 15
sibiridon mɛkalo tile 15 san
mɛkalo tile 15 san 2021
tile 15 san 2021 ,
15 san 2021 , nɛgɛkanɲɛ
la , marisikalo tile 22
, marisikalo tile 22 ,
marisikalo tile 22 , san
tile 22 , san 2021
22 , san 2021 .
, san 2021 .
labɛnnenw ɲɛ nowanburukalo san 2020
ɲɛ nowanburukalo san 2020 la
nowanburukalo san 2020 la .
San 1960 ,
San 1960 , san
1960 , san 1974 ani
, san 1974 ani 1992
1974 ani 1992 , Malidenw
Munna san 2017 ,
Munna san 2017 ,
Wa munna san 2020 ,
munna san 2020 , Mali
na , san 2021 .
, san 2021 .
k'a ta san 1999 na
ta san 1999 na ka
ka se san 2007 ma
se san 2007 ma .
