wa African National
jwa ANC ka
la ANC a
gore ANC e
wa SANCO mo
mo ANC ,
ga ANC go
mo ANC dingwaga
wa ANC ,
wa DA ,
ya ANC ya
, ANC ga
wa ANC o
ya ANC e
wa ANC ,
wa ANC ,
wa ANC ya
mo ANC dingwaga
a ANC .
wa ANC le
go ANC ya
la ANC ga
le ANC ka
la ANC ka
ya ANC e
ya ANC le
wa ANC o
wa ANC a
gore ANC e
jwa ANC jo
Bosetšhaba ANC Cyril
ya ANC ,
mo ANC .
ANC e
tsa ANC go
wa ANC o
ya ANC .
ya ANC le
wa ANC Cyril
la DA le
la ANC le
wa DA John
ga Eskom ,
, SAA ,
, Denel .
wa ANC o
wa ANC Cyril
wa ANC ,
sa ANC magareng
, Afriforum se
a Glencore morago
kwa Eskom fa
wa ANC o
ya ANC ,
wa ANC o
ANC e
wa ANC ,
wa ANC le
ya ANC ,
a ANC a
aroganya ANC se
ba ANC ke
ba ANC ba
wa ANC wa
wa ANC le
