Olurukoba ya ce
Mista Olurukoba ya kuma
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
jihar Kano Muhyi Magaji Rimin
Kano Muhyi Magaji Rimin Gado
Muhyi Magaji Rimin Gado da
Magaji Rimin Gado da ya
rawaito gwamna Ganduje ya bada
gabata gwamna Ganduje ya biya
mai suna Abubakar Umar ya
suna Abubakar Umar ya yi
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
ta ruwaito Abubakar ya sha
Rimin Gado Garba Shu'aibu Rimin
Gado Garba Shu'aibu Rimin Gado
Garba Shu'aibu Rimin Gado a
Shu'aibu Rimin Gado a matsayin
uwa ga Abubakar , Abdulhadi
Abubakar , Abdulhadi Maikudi ya
, Abdulhadi Maikudi ya ce
Acewar Maikudi bayan an
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
Kano Pillar Rilwanu Idris Malikawa
Pillar Rilwanu Idris Malikawa Garu
Rilwanu Idris Malikawa Garu ne
Idris Malikawa Garu ne ya
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
mai shari'a Deje Abdu Aboki
shari'a Deje Abdu Aboki ce
Deje Abdu Aboki ce ta
ta samu Rabi'u da laifi
mai shari'a Dije Abdu Aboki
shari'a Dije Abdu Aboki .
Dije Abdu Aboki .
hadar da Rabi'u Hassan Dawaki
da Rabi'u Hassan Dawaki ,
Rabi'u Hassan Dawaki , Abdullahi
Dawaki , Abdullahi Umar Rano
, Abdullahi Umar Rano da
Abdullahi Umar Rano da kuma
da kuma Samuel Obende .
kuma Samuel Obende .
ake tuhuma Abdullahi Umar Rano
tuhuma Abdullahi Umar Rano da
Abdullahi Umar Rano da Samuel
Rano da Samuel Obende sun
da Samuel Obende sun mutu
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
jiha Malam Sunusi Kiru ne
Malam Sunusi Kiru ne ya
manufofin gwamnatin Abdullahi Umar Ganduje
gwamnatin Abdullahi Umar Ganduje .
Abdullahi Umar Ganduje .
jiha Alhji Usman Alhaji ne
Alhji Usman Alhaji ne ya
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
Kano Dakta Zainab Abdulkadir ta
Dakta Zainab Abdulkadir ta ce
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
Kano Dakta Zainab Abdulkadir ta
Dakta Zainab Abdulkadir ta ce
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
Kano Dakta Zainab Abdulkadir ta
Dakta Zainab Abdulkadir ta ce
kwamitin , Usman Alhaji ya
, Usman Alhaji ya bukaci
hukumar KAROTA Bappa Babba Dan
KAROTA Bappa Babba Dan Agundu
Bappa Babba Dan Agundu a
Babba Dan Agundu a matsayin
da kuma Abdullahi Mua'azu shugaban
kuma Abdullahi Mua'azu shugaban hukumar
shugaban kwamitin Bappa Babba Dan
kwamitin Bappa Babba Dan Agundi
Bappa Babba Dan Agundi ya
Babba Dan Agundi ya ce
Kano Dakta Zainab Abdulkadir ta
Dakta Zainab Abdulkadir ta ce
Bilkisu Abubakar mazauniyar
Bilkisu Abubakar mazauniyar Kano
amma dai Allah zai kare
Wani matashi Aliyu Abdullahi ya
matashi Aliyu Abdullahi ya ce
mai suna Abba Salisu ya
suna Abba Salisu ya ce
mai suna Umar Hussain ya
suna Umar Hussain ya ce
sayar da Aya Anas Abubakar
da Aya Anas Abubakar ya
Aya Anas Abubakar ya ce
dattijo Malam Nuhu Muhammad ,
Malam Nuhu Muhammad , suka
sassara dansa Nasiru Nuhu a
dansa Nasiru Nuhu a karamar
Bilkisu Abubakar mazauniyar
Bilkisu Abubakar mazauniyar Kano
amma dai Allah zai kare
Wani matashi Aliyu Abdullahi ya
matashi Aliyu Abdullahi ya ce
mai suna Abba Salisu ya
suna Abba Salisu ya ce
mai suna Umar Hussain ya
suna Umar Hussain ya ce
sayar da Aya Anas Abubakar
da Aya Anas Abubakar ya
Aya Anas Abubakar ya ce
dattijo Malam Nuhu Muhammad ,
Malam Nuhu Muhammad , suka
sassara dansa Nasiru Nuhu a
dansa Nasiru Nuhu a karamar
Bilkisu Abubakar mazauniyar
Bilkisu Abubakar mazauniyar Kano
amma dai Allah zai kare
Wani matashi Aliyu Abdullahi ya
matashi Aliyu Abdullahi ya ce
mai suna Abba Salisu ya
suna Abba Salisu ya ce
mai suna Umar Hussain ya
suna Umar Hussain ya ce
sayar da Aya Anas Abubakar
da Aya Anas Abubakar ya
Aya Anas Abubakar ya ce
dattijo Malam Nuhu Muhammad ,
Malam Nuhu Muhammad , suka
sassara dansa Nasiru Nuhu a
dansa Nasiru Nuhu a karamar
Bilkisu Abubakar mazauniyar
Bilkisu Abubakar mazauniyar Kano
amma dai Allah zai kare
Wani matashi Aliyu Abdullahi ya
matashi Aliyu Abdullahi ya ce
mai suna Abba Salisu ya
suna Abba Salisu ya ce
mai suna Umar Hussain ya
suna Umar Hussain ya ce
sayar da Aya Anas Abubakar
da Aya Anas Abubakar ya
Aya Anas Abubakar ya ce
dattijo Malam Nuhu Muhammad ,
Malam Nuhu Muhammad , suka
sassara dansa Nasiru Nuhu a
dansa Nasiru Nuhu a karamar
uwan mamacin Muhammad Sani ,
mamacin Muhammad Sani , sun
gidan Malam Nuhu , da
A cewar Sani dan nasa
kaiwa Malam Nuhu Hari ba
Malam Nuhu Hari ba .
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ya
Abdullahi Haruna Kiyawa ya ce
uwan mamacin Muhammad Sani ,
mamacin Muhammad Sani , sun
gidan Malam Nuhu , da
A cewar Sani dan nasa
kaiwa Malam Nuhu Hari ba
Malam Nuhu Hari ba .
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ya
Abdullahi Haruna Kiyawa ya ce
uwan mamacin Muhammad Sani ,
mamacin Muhammad Sani , sun
gidan Malam Nuhu , da
A cewar Sani dan nasa
kaiwa Malam Nuhu Hari ba
Malam Nuhu Hari ba .
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ya
Abdullahi Haruna Kiyawa ya ce
uwan mamacin Muhammad Sani ,
mamacin Muhammad Sani , sun
gidan Malam Nuhu , da
A cewar Sani dan nasa
kaiwa Malam Nuhu Hari ba
Malam Nuhu Hari ba .
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ya
Abdullahi Haruna Kiyawa ya ce
hakikanin al'amarin Kiyawa mai mukamin
mai suna Sadik Hussaini da
suna Sadik Hussaini da ya
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ne
Abdullahi Haruna Kiyawa ne ya
Kiyawa mai mukamin
Kiyawa ya ce
mamallakin kayan Abubakar Abdullahi Alasan
kayan Abubakar Abdullahi Alasan ,
Abubakar Abdullahi Alasan , mai
Abubakar ya ce
hakikanin al'amarin Kiyawa mai mukamin
mai suna Sadik Hussaini da
suna Sadik Hussaini da ya
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ne
Abdullahi Haruna Kiyawa ne ya
Kiyawa mai mukamin
Kiyawa ya ce
mamallakin kayan Abubakar Abdullahi Alasan
kayan Abubakar Abdullahi Alasan ,
Abubakar Abdullahi Alasan , mai
Abubakar ya ce
hakikanin al'amarin Kiyawa mai mukamin
mai suna Sadik Hussaini da
suna Sadik Hussaini da ya
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ne
Abdullahi Haruna Kiyawa ne ya
Kiyawa mai mukamin
Kiyawa ya ce
mamallakin kayan Abubakar Abdullahi Alasan
kayan Abubakar Abdullahi Alasan ,
Abubakar Abdullahi Alasan , mai
Abubakar ya ce
hakikanin al'amarin Kiyawa mai mukamin
mai suna Sadik Hussaini da
suna Sadik Hussaini da ya
jihar Kano Abdullahi Haruna Kiyawa
Kano Abdullahi Haruna Kiyawa ne
Abdullahi Haruna Kiyawa ne ya
Kiyawa mai mukamin
Kiyawa ya ce
mamallakin kayan Abubakar Abdullahi Alasan
kayan Abubakar Abdullahi Alasan ,
Abubakar Abdullahi Alasan , mai
Abubakar ya ce
na barwa Allah na yi
da kayan Sadiq Hussani ya
kayan Sadiq Hussani ya ce
Kano Sheikh Muhammad Haruna Sani
Sheikh Muhammad Haruna Sani Ibni
Muhammad Haruna Sani Ibni Sina
Haruna Sani Ibni Sina ya
Sani Ibni Sina ya dakatar
Hukumar Dala Siyudi Hassan Muhammad
Dala Siyudi Hassan Muhammad bisa
Siyudi Hassan Muhammad bisa zargin
na hukumar Lawal Fagge ne
hukumar Lawal Fagge ne ya
Lawan Fagge ya
Lawan Fagge ya ce
na barwa Allah na yi
da kayan Sadiq Hussani ya
kayan Sadiq Hussani ya ce
Kano Sheikh Muhammad Haruna Sani
Sheikh Muhammad Haruna Sani Ibni
Muhammad Haruna Sani Ibni Sina
Haruna Sani Ibni Sina ya
Sani Ibni Sina ya dakatar
Hukumar Dala Siyudi Hassan Muhammad
Dala Siyudi Hassan Muhammad bisa
Siyudi Hassan Muhammad bisa zargin
na hukumar Lawal Fagge ne
hukumar Lawal Fagge ne ya
Lawan Fagge ya
Lawan Fagge ya ce
na barwa Allah na yi
da kayan Sadiq Hussani ya
kayan Sadiq Hussani ya ce
Kano Sheikh Muhammad Haruna Sani
Sheikh Muhammad Haruna Sani Ibni
Muhammad Haruna Sani Ibni Sina
Haruna Sani Ibni Sina ya
Sani Ibni Sina ya dakatar
Hukumar Dala Siyudi Hassan Muhammad
Dala Siyudi Hassan Muhammad bisa
Siyudi Hassan Muhammad bisa zargin
na hukumar Lawal Fagge ne
hukumar Lawal Fagge ne ya
Lawan Fagge ya
Lawan Fagge ya ce
na barwa Allah na yi
da kayan Sadiq Hussani ya
kayan Sadiq Hussani ya ce
Kano Sheikh Muhammad Haruna Sani
Sheikh Muhammad Haruna Sani Ibni
Muhammad Haruna Sani Ibni Sina
Haruna Sani Ibni Sina ya
