Tribune ntâmgǒ 13
Dzə̂tsə́ guŋ mguʼ
guŋ mguʼ awɛ́
tə̂ tyə́ʼ 15
tyə́ʼ 15 kûʼ
twɔ́k tyə̂ʼ 15
tyə̂ʼ 15 nə̂
ntó' dǝŋdzǝ tyǝ̌'
dǝŋdzǝ tyǝ̌' nǝ̂
tyǝ̌' nǝ̂ Fǝfǝ
nǝ̂ Fǝfǝ ŋkǝ́m
nǝ́ tyǝ̂' 30
tyǝ̂' 30 nǝ́
30 nǝ́ Dzʉ̂'bvʉ
nǝ́ Dzʉ̂'bvʉ nǝ̂
Dzʉ̂'bvʉ nǝ̂ gu'
nǝ̂ gu' yǝ
gu' yǝ á
yǝ á dzǝ
á dzǝ áá
dzǝ áá
dəŋpe 2004
Kamǝlûm gu' 2013
gu' 2013
dzʉ̂ guʼ 2010
guʼ 2010
nə́ Dzə̂tsə́ 2013
Dzə̂tsə́ 2013 nə̂
nǝ́ gu' 2013
gu' 2013 bǝ́
CAB tyə̂ʼ 28
tyə̂ʼ 28 /
28 / 12
/ 12 /
12 / 04
/ 04 nə́
CAB tyə̂ʼ 28
tyə̂ʼ 28 /
28 / 12
/ 12 /
12 / 04
/ 04 nə́
CAB tyə̂ʼ 29
tyə̂ʼ 29 /
29 / 12
/ 12 /
12 / 04
/ 04 nə́
CAB tyə̂ʼ 29
tyə̂ʼ 29 /
29 / 12
/ 12 /
12 / 04
/ 04 nə́
CAB tyə̂ʼ 29
tyə̂ʼ 29 /
29 / 12
/ 12 /
12 / 04
/ 04 nə̂
Tyə̂ʼ 28
Tyə̂ʼ 28 nə́
28 nə́ Dzʉ̂ʼbvʉ̂
nə́ Dzʉ̂ʼbvʉ̂ bə́
nə̂ guʼ 2022
guʼ 2022 -
2022 - 2024
- 2024
nə́ tyə̂ʼ 11
tyə̂ʼ 11 nə́
11 nə́ Sûne
nə́ Sûne 201
Sûne 201
pəpəŋthə́láʼ tyə́ʼ 07
tyə́ʼ 07 nə̂
07 nə̂ Fəfə
nə̂ Fəfə 2021
Fəfə 2021 .
á tyə́ʼ ɔ
tyə́ʼ ɔ Vietel
ŋkə́m 31 nə́
31 nə́ Fʉ̂ʼbvʉ
nə́ Fʉ̂ʼbvʉ 2020
Fʉ̂ʼbvʉ 2020 wə́
mfaʼ 2020 nə́
nə̂ gapdzʉ́ dzə̀
gapdzʉ́ dzə̀ .
ŋkə́m 31 nə́
31 nə́ Fʉ̂ʼbvʉ
nə́ Fʉ̂ʼbvʉ 2020
Fʉ̂ʼbvʉ 2020 kə
ntʉ́m gapdzʉ́ lə
nə́tôʼ guʼ 2020
guʼ 2020 .
/ Fəfə -
Fəfə - Shwâgəfə
- Shwâgəfə 2021
Shwâgəfə 2021 .
ntám tyə́ʼ ɔ
tyə́ʼ ɔ .
sɔ́ʼ tyə̂ʼ 25
tyə̂ʼ 25 nə́
25 nə́ Fəfə
nə́ Fəfə 2021
Fəfə 2021 .
. Daʼdaʼ ba
nə̂ 2016 ŋkə́m
nə́ 2020
ákəlɔ tyə́ʼ ɔ
tyə́ʼ ɔ .
nə́ tyə́ʼ ɔ
tyə́ʼ ɔ áá
nə́ Sûne gəfə
nə́ Ŋkə̂mghě .
nə́ gûʼdzʉ̌ gɔ̂pnaʼ
