esingathwe yiRussia kulo
( eDutywa )
edolophini eGcuwa .
ezilishumi zaseMpuma Koloni
zaseMpuma Koloni ukuze
ukusuka eRhawutini ukuya
ukuya eDutywa .
kwiphondo laseFreyistata .
igadalala laseRussia elambetha
iphenjwe Elahleni kwiBraai
inyama eQuigney eMonti
eQuigney eMonti .
ngusihlalo waseMpuma Koloni
waseMpuma Koloni kwiSouth
nguSodolophu waseBuffalo City
waseBuffalo City .
kwintlanganiso yaseMpuma Koloni
yaseMpuma Koloni eyayingenyanga
ezazibanjelwe Elahleni (
eyojiweyo eQuigney eMonti
eQuigney eMonti )
) zaseMonti apho
esasizibambele Elahleni ,
esivela eNtshona Koloni
eNtshona Koloni ,
okanye eHighway [
[ eMdantsane ]
kweebhasi eGqeberha
AMAPOLISA aseGqeberha aphanda
kwisiza esiseMotherwell eGqeberha
esiseMotherwell eGqeberha ngobusuku
ezisibhozo eGqeberha ngobusuku
Ummandla waseGqeberha ugutyungelwe
USodolophu waseNelson Mandela
waseNelson Mandela Bay
Mandela Bay ,
Indawo yaseFolokhwe eneelali
kolwandle eXhorha itsala
kwelali iFolokhwe kunye
kunye naseNqileni okuyilali
kwilali eNqileni eXhora
eNqileni eXhora nonceda
ekwilali iNkanya
kwilali yaseFolokhwe eXhora
yaseFolokhwe eXhora bangabanye
ekwilali yaseNkanya engaphesheya
komlambo iXhora
kwilali eNqileni eXhora
eNqileni eXhora nonceda
eya eNkanya .
RADEBE SOUTH AFRICA
SOUTH AFRICA -
- Xhora -
kumlambo iXora -
engaphesheya kwaNkanya ,
kwale yaKwaNkanya ,
ngayo KwaNkanya kukuba
kwangenyawo eMdeni nakwaTshezi
eMdeni nakwaTshezi ,
kwilali yaseNqileni ,
ngokuba yiXhorha Mouth
yiXhorha Mouth .
ngasesibhedlele eMadwaleni njengoko
edolophini eXhorha kwanokubuya
abantu eMadwaleni .
elalini eMdeni eza
eziphantsi kweFolokhwe .
ebetyelele eBhulungula Lodge
eBhulungula Lodge eNqileni
Lodge eNqileni kwalapha
lezeMpilo eMpuma Koloni
eMpuma Koloni uSizwe
lali zaseXhorha ziyakuxhamla
abaphantsi kweOR Tambo
kweOR Tambo kuquka
noMasipala uMbashe ,
ABAHLALI baseMakhanda bamile
esi sixeko seNgcwele
sixeko seNgcwele .
Abahlali baseMakhanda bebambe
nguMasipala iMakana .
Abahlali baseMakhanda bebambe
ePhakamileyo yaseMakhanda yagweba
uMasipala waseMakana ,
uMasipala waseMakana ,
sabantu baseMakhanda sihlutyiwe
uthi eMakhanda bayazihlala
" KuseMakhanda kuphela
Kumabango weMakana wokuba
Abahlali baseMakhanda bebambe
yeelokishi zaseMakhanda ,
abahlala eMakhanda .
lilizwe lakwaSirayeli kumaPalestina
lakwaSirayeli kumaPalestina ,
noqale eSouthernwood ukuya
ukuya kwiHolo yeSixeko
kwiHolo yeSixeko saseMonti
yeSixeko saseMonti ngeCawe
Biko eMonti UMFANEKISO
lilizwe lakwaSirayeli elicinezele
lilizwe lakwaSirayeli kumaPalestina
lakwaSirayeli kumaPalestina .
lilizwe lakwaSirayeli kumaPalestina
lakwaSirayeli kumaPalestina ibonwa
kwabantwana basePalestina .
IMpuma Koloni
IMpuma Koloni ithi
